Symbol,Date,Close
FB,9/5/2017,170.72
FB,9/6/2017,172.09
FB,9/7/2017,173.21
FB,9/8/2017,170.95
FB,9/11/2017,173.51
FB,9/12/2017,172.96
FB,9/13/2017,173.05
FB,9/14/2017,170.96
FB,9/15/2017,171.64
FB,9/18/2017,170.01
FB,9/19/2017,172.52
FB,9/20/2017,172.17
FB,9/21/2017,171.11
FB,9/22/2017,170.54
FB,9/25/2017,162.87
FB,9/26/2017,164.21
FB,9/27/2017,167.68
FB,9/28/2017,168.73
FB,9/29/2017,170.87
FB,10/2/2017,169.47
FB,10/3/2017,169.96
FB,10/4/2017,168.42
FB,10/5/2017,171.24
FB,10/6/2017,172.23
FB,10/9/2017,172.5
FB,10/10/2017,171.59
FB,10/11/2017,172.74
FB,10/12/2017,172.55
FB,10/13/2017,173.74
FB,10/16/2017,174.52
FB,10/17/2017,176.11
FB,10/18/2017,176.03
FB,10/19/2017,174.56
FB,10/20/2017,174.98
FB,10/23/2017,171.27
FB,10/24/2017,171.8
FB,10/25/2017,170.6
FB,10/26/2017,170.63
FB,10/27/2017,177.88
FB,10/30/2017,179.87
FB,10/31/2017,180.06
FB,11/1/2017,182.66
FB,11/2/2017,178.92
FB,11/3/2017,178.92
FB,11/6/2017,180.17
FB,11/7/2017,180.25
FB,11/8/2017,179.56
FB,11/9/2017,179.3
FB,11/10/2017,178.46
FB,11/13/2017,178.77
FB,11/14/2017,178.07
FB,11/15/2017,177.95
FB,11/16/2017,179.59
FB,11/17/2017,179
FB,11/20/2017,178.74
FB,11/21/2017,181.86
FB,11/22/2017,180.87
FB,11/24/2017,182.78
FB,11/27/2017,183.03
FB,11/28/2017,182.42
FB,11/29/2017,175.13
FB,11/30/2017,177.18
FB,12/1/2017,175.1
FB,12/4/2017,171.47
FB,12/5/2017,172.83
FB,12/6/2017,176.06
FB,12/7/2017,180.14
FB,12/8/2017,179
FB,12/11/2017,179.04
FB,12/12/2017,176.96
FB,12/13/2017,178.3
FB,12/14/2017,178.39
FB,12/15/2017,180.18
FB,12/18/2017,180.82
FB,12/19/2017,179.51
FB,12/20/2017,177.89
FB,12/21/2017,177.45
FB,12/22/2017,177.2
FB,12/26/2017,175.99
FB,12/27/2017,177.62
FB,12/28/2017,177.92
FB,12/29/2017,176.46
FB,1/2/2018,181.42
FB,1/3/2018,184.67
FB,1/4/2018,184.33
FB,1/5/2018,186.85
FB,1/8/2018,188.28
FB,1/9/2018,187.87
FB,1/10/2018,187.84
FB,1/11/2018,187.77
FB,1/12/2018,179.37
FB,1/16/2018,178.39
FB,1/17/2018,177.6
FB,1/18/2018,179.8
FB,1/19/2018,181.29
FB,1/22/2018,185.37
FB,1/23/2018,189.35
FB,1/24/2018,186.55
FB,1/25/2018,187.48
FB,1/26/2018,190
FB,1/29/2018,185.98
FB,1/30/2018,187.12
FB,1/31/2018,186.89
FB,2/1/2018,193.09
FB,2/2/2018,190.28
FB,2/5/2018,181.26
FB,2/6/2018,185.31
FB,2/7/2018,180.18
FB,2/8/2018,171.58
FB,2/9/2018,176.11
FB,2/12/2018,176.41
FB,2/13/2018,173.15
FB,2/14/2018,179.52
FB,2/15/2018,179.96
FB,2/16/2018,177.36
FB,2/20/2018,176.01
FB,2/21/2018,177.91
FB,2/22/2018,178.99
FB,2/23/2018,183.29
FB,2/26/2018,184.93
FB,2/27/2018,181.46
FB,2/28/2018,178.32
FB,3/1/2018,175.94
FB,3/2/2018,176.62
FB,3/5/2018,180.4
FB,3/6/2018,179.78
FB,3/7/2018,183.71
FB,3/8/2018,182.34
FB,3/9/2018,185.23
FB,3/12/2018,184.76
FB,3/13/2018,181.88
FB,3/14/2018,184.19
FB,3/15/2018,183.86
FB,3/16/2018,185.09
FB,3/19/2018,172.56
FB,3/20/2018,168.15
FB,3/21/2018,169.39
FB,3/22/2018,164.89
FB,3/23/2018,159.39
FB,3/26/2018,160.06
FB,3/27/2018,152.22
FB,3/28/2018,153.03
FB,3/29/2018,159.79
FB,4/2/2018,155.39
FB,4/3/2018,156.11
FB,4/4/2018,155.1
FB,4/5/2018,159.34
FB,4/6/2018,157.2
FB,4/9/2018,157.93
FB,4/10/2018,165.04
FB,4/11/2018,166.32
FB,4/12/2018,163.87
FB,4/13/2018,164.52
FB,4/16/2018,164.83
FB,4/17/2018,168.66
FB,4/18/2018,166.36
FB,4/19/2018,168.1
FB,4/20/2018,166.28
FB,4/23/2018,165.84
FB,4/24/2018,159.69
FB,4/25/2018,159.69
FB,4/26/2018,174.16
FB,4/27/2018,173.59
FB,4/30/2018,172
FB,5/1/2018,173.86
FB,5/2/2018,176.07
FB,5/3/2018,174.02
FB,5/4/2018,176.61
FB,5/7/2018,177.97
FB,5/8/2018,178.92
FB,5/9/2018,182.66
FB,5/10/2018,185.53
FB,5/11/2018,186.99
FB,5/14/2018,186.64
FB,5/15/2018,184.32
FB,5/16/2018,183.2
FB,5/17/2018,183.76
FB,5/18/2018,182.68
FB,5/21/2018,184.49
FB,5/22/2018,183.8
FB,5/23/2018,186.9
FB,5/24/2018,185.93
FB,5/25/2018,184.92
FB,5/29/2018,185.74
FB,5/30/2018,187.67
FB,5/31/2018,191.78
FB,6/1/2018,193.99
FB,6/4/2018,193.28
FB,6/5/2018,192.94
FB,6/6/2018,191.34
FB,6/7/2018,188.18
FB,6/8/2018,189.1
FB,6/11/2018,191.54
FB,6/12/2018,192.4
FB,6/13/2018,192.41
FB,6/14/2018,196.81
FB,6/15/2018,195.85
FB,6/18/2018,198.31
FB,6/19/2018,197.49
FB,6/20/2018,202
FB,6/21/2018,201.5
FB,6/22/2018,201.74
FB,6/25/2018,196.35
FB,6/26/2018,199
FB,6/27/2018,195.84
FB,6/28/2018,196.23
FB,6/29/2018,194.32
FB,7/2/2018,197.36
FB,7/3/2018,192.73
FB,7/5/2018,198.45
FB,7/6/2018,203.23
FB,7/9/2018,204.74
FB,7/10/2018,203.54
FB,7/11/2018,202.54
FB,7/12/2018,206.92
FB,7/13/2018,207.32
FB,7/16/2018,207.23
FB,7/17/2018,209.99
FB,7/18/2018,209.36
FB,7/19/2018,208.09
FB,7/20/2018,209.94
FB,7/23/2018,210.91
FB,7/24/2018,214.67
FB,7/25/2018,217.5
FB,7/26/2018,176.26
FB,7/27/2018,174.89
FB,7/30/2018,171.06
FB,7/31/2018,172.58
FB,8/1/2018,171.65
FB,8/2/2018,176.37
FB,8/3/2018,177.78
FB,8/6/2018,185.69
FB,8/7/2018,183.81
FB,8/8/2018,185.18
FB,8/9/2018,183.09
FB,8/10/2018,180.26
FB,8/13/2018,180.05
FB,8/14/2018,181.11
FB,8/15/2018,179.53
FB,8/16/2018,174.7
FB,8/17/2018,173.8
FB,8/20/2018,172.5
FB,8/21/2018,172.62
FB,8/22/2018,173.64
FB,8/23/2018,172.9
FB,8/24/2018,174.65
FB,8/27/2018,177.46
FB,8/28/2018,176.26
FB,8/29/2018,175.9
FB,8/30/2018,177.64
FB,8/31/2018,175.73
FB,9/4/2018,171.16
FB,9/5/2018,167.18
FB,9/6/2018,162.53
FB,9/7/2018,163.04
FB,9/10/2018,164.18
FB,9/11/2018,165.94
FB,9/12/2018,162
FB,9/13/2018,161.36
FB,9/14/2018,162.32
FB,9/17/2018,160.58
FB,9/18/2018,160.3
FB,9/19/2018,163.06
FB,9/20/2018,166.02
FB,9/21/2018,162.93
FB,9/24/2018,165.41
FB,9/25/2018,164.91
FB,9/26/2018,166.95
FB,9/27/2018,168.84
FB,9/28/2018,164.46
FB,10/1/2018,162.44
FB,10/2/2018,159.33
